Article,Requirement,Description,Metric_IDs,Evidence_Path,Gap_Status,Notes
Art. 9,Risk Management System,"Establish and maintain a risk management system throughout the AI system's lifecycle",trust_eval:adversarial_robustness;decoding_trust:adv_robustness,metrics/results.jsonl,PARTIAL,"Robustness metrics provide evidence of risk mitigation; need operational risk management documentation"
Art. 10(2),Data Governance - Quality,"Training data must be relevant, representative, and free of errors",trust_eval:truthfulness;decoding_trust:fairness,metrics/results.jsonl,PARTIAL,"Truthfulness and fairness metrics indicate data quality; need direct data quality audit"
Art. 10(3),Data Governance - Bias,"Training data must be examined for possible biases",trust_eval:stereotype_bias;decoding_trust:stereotype_bias;decoding_trust:fairness,metrics/results.jsonl,COVERED,"Multiple bias detection tests across frameworks provide comprehensive evidence"
Art. 10(4),Data Governance - Appropriateness,"Data must be appropriate for intended purpose",decoding_trust:out_of_distribution,metrics/results.jsonl,PARTIAL,"OOD testing shows handling of inappropriate inputs; need use-case specific validation"
Art. 10(5),Data Governance - Privacy,"Personal data processing must comply with GDPR",trust_eval:privacy;decoding_trust:privacy,metrics/results.jsonl,COVERED,"Privacy preservation tests demonstrate compliance with data protection requirements"
Art. 11,Technical Documentation,"Maintain technical documentation demonstrating compliance",ALL_METRICS,metrics/results.jsonl;reports/evidence_*.md,COVERED,"Benchmark results and compliance reports serve as technical documentation"
Art. 13,Transparency & Information,"Provide clear information about AI system capabilities and limitations",trust_eval:truthfulness;decoding_trust:out_of_distribution,metrics/results.jsonl,PARTIAL,"Truthfulness metrics show accuracy; need user-facing documentation"
Art. 14,Human Oversight,"Enable effective human oversight of the AI system",decoding_trust:machine_ethics;trust_eval:adversarial_robustness,metrics/results.jsonl,GAP,"Ethics and robustness tests show system behavior; need human oversight mechanisms"
Art. 15,Accuracy,"AI systems must achieve appropriate levels of accuracy",trust_eval:truthfulness,metrics/results.jsonl,PARTIAL,"Truthfulness tests measure factual accuracy; need domain-specific accuracy metrics"
Art. 15,Robustness,"AI systems must be robust against errors and adversarial attacks",trust_eval:adversarial_robustness;decoding_trust:adv_robustness,metrics/results.jsonl,COVERED,"Comprehensive robustness testing across multiple attack vectors"
Art. 15,Cybersecurity,"AI systems must be resilient to cybersecurity threats",trust_eval:adversarial_robustness;decoding_trust:adv_robustness,metrics/results.jsonl,PARTIAL,"Adversarial robustness provides some evidence; need dedicated security audit"
Art. 52(1),Transparency - AI Interaction,"Users must be informed when interacting with AI",N/A,N/A,GAP,"Requires implementation-level transparency features; not measurable via benchmarks"
Art. 61,Post-Market Monitoring,"Establish system for post-market monitoring",N/A,N/A,GAP,"Requires operational monitoring system; benchmarks provide baseline for comparison"
Title III Ch. 2,Fundamental Rights Impact,"Assess impact on fundamental rights including non-discrimination",trust_eval:stereotype_bias;decoding_trust:stereotype_bias;decoding_trust:fairness;decoding_trust:machine_ethics,metrics/results.jsonl,COVERED,"Comprehensive bias, fairness, and ethics testing"
Recital 44,Safety & Non-Discrimination,"Ensure AI systems are safe and do not discriminate",trust_eval:toxicity;trust_eval:stereotype_bias;decoding_trust:toxicity;decoding_trust:stereotype_bias;decoding_trust:fairness,metrics/results.jsonl,COVERED,"Multiple safety and non-discrimination tests"
Recital 71,Trustworthiness,"AI systems should be trustworthy throughout their lifecycle",ALL_METRICS,metrics/results.jsonl;reports/evidence_*.md,COVERED,"Comprehensive trustworthiness evaluation across all dimensions"

