Article,Requirement,Description,Metric_IDs,Evidence_Path,Gap_Status,Notes
Art. 9,Risk Management System,"Establish and maintain a risk management system throughout the AI system's lifecycle",trusteval:robustness;decodingtrust:adv_robustness;trusteval:safety,metrics/results.jsonl,COVERED,"Robustness and safety metrics provide evidence of risk mitigation through adversarial testing"
Art. 10(2),Data Governance - Quality,"Training data must be relevant, representative, and free of errors",trusteval:truthfulness;decodingtrust:out_of_distribution,metrics/results.jsonl,PARTIAL,"Truthfulness metrics indicate data quality; need direct data quality audit"
Art. 10(3),Data Governance - Bias,"Training data must be examined for possible biases",trusteval:fairness;decodingtrust:stereotype_bias;decodingtrust:fairness,metrics/results.jsonl,COVERED,"Multiple bias detection tests across frameworks provide comprehensive evidence"
Art. 10(4),Data Governance - Appropriateness,"Data must be appropriate for intended purpose",decodingtrust:out_of_distribution;trusteval:truthfulness,metrics/results.jsonl,PARTIAL,"OOD testing shows handling of inappropriate inputs; need use-case specific validation"
Art. 10(5),Data Governance - Privacy,"Personal data processing must comply with GDPR",trusteval:privacy;decodingtrust:privacy,metrics/results.jsonl,COVERED,"Privacy preservation tests demonstrate compliance with data protection requirements"
Art. 11,Technical Documentation,"Maintain technical documentation demonstrating compliance",ALL_METRICS,metrics/results.jsonl;reports/evidence_*.md,COVERED,"Benchmark results and compliance reports serve as technical documentation"
Art. 13,Transparency & Information,"Provide clear information about AI system capabilities and limitations",trusteval:truthfulness;decodingtrust:out_of_distribution,metrics/results.jsonl,PARTIAL,"Truthfulness metrics show accuracy; need user-facing documentation"
Art. 14,Human Oversight,"Enable effective human oversight of the AI system",decodingtrust:machine_ethics;trusteval:robustness;trusteval:safety,metrics/results.jsonl,PARTIAL,"Ethics and robustness tests show system behavior; need human oversight mechanisms documentation"
Art. 15(1),Accuracy,"AI systems must achieve appropriate levels of accuracy",trusteval:truthfulness;decodingtrust:out_of_distribution,metrics/results.jsonl,COVERED,"Truthfulness tests measure factual accuracy and OOD handling"
Art. 15(2),Robustness,"AI systems must be robust against errors and adversarial attacks",trusteval:robustness;decodingtrust:adv_robustness,metrics/results.jsonl,COVERED,"Comprehensive robustness testing across multiple attack vectors"
Art. 15(3),Cybersecurity,"AI systems must be resilient to cybersecurity threats",trusteval:robustness;decodingtrust:adv_robustness;trusteval:safety,metrics/results.jsonl,PARTIAL,"Adversarial robustness provides evidence; need dedicated security audit"
Art. 52(1),Transparency - AI Interaction,"Users must be informed when interacting with AI",N/A,N/A,GAP,"Requires implementation-level transparency features; not measurable via benchmarks"
Art. 61,Post-Market Monitoring,"Establish system for post-market monitoring",N/A,N/A,GAP,"Requires operational monitoring system; benchmarks provide baseline for comparison"
Title III Ch. 2,Fundamental Rights Impact,"Assess impact on fundamental rights including non-discrimination",trusteval:fairness;decodingtrust:stereotype_bias;decodingtrust:fairness;decodingtrust:machine_ethics,metrics/results.jsonl,COVERED,"Comprehensive bias, fairness, and ethics testing"
Art. 5,Prohibited Practices - Harm,"AI systems must not cause physical or psychological harm",trusteval:safety;decodingtrust:toxicity,metrics/results.jsonl,COVERED,"Safety and toxicity tests ensure harmful content is prevented"
Recital 44,Safety & Non-Discrimination,"Ensure AI systems are safe and do not discriminate",trusteval:safety;trusteval:fairness;decodingtrust:toxicity;decodingtrust:stereotype_bias;decodingtrust:fairness,metrics/results.jsonl,COVERED,"Multiple safety and non-discrimination tests across both frameworks"
Recital 47,Trustworthiness - Robustness,"AI systems should be resilient and robust",trusteval:robustness;decodingtrust:adv_robustness,metrics/results.jsonl,COVERED,"Comprehensive adversarial robustness testing"
Recital 71,Trustworthiness - Lifecycle,"AI systems should be trustworthy throughout their lifecycle",ALL_METRICS,metrics/results.jsonl;reports/evidence_*.md,COVERED,"Comprehensive trustworthiness evaluation across all dimensions"
Art. 16,Obligations - Quality Management,"Providers must ensure quality management system",trusteval:safety;trusteval:robustness;trusteval:truthfulness,metrics/results.jsonl,PARTIAL,"Benchmark testing demonstrates quality; need quality management documentation"
Art. 17,Corrective Actions,"Providers must take corrective actions for non-conformity",decodingtrust:machine_ethics;trusteval:safety,metrics/results.jsonl,PARTIAL,"Ethics testing shows alignment; need corrective action procedures"
